Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),,Vehicle Class
3.3,6,11.9,279,,FULL-SIZE
5,8,13,306,,FULL-SIZE
2.5,4,10.2,239,,SUV - STANDARD
3.6,6,11.3,265,,SUV - STANDARD
2.5,4,10.4,243,,SUV - STANDARD
3.6,6,11.6,271,,SUV - STANDARD
2.5,4,10.7,252,,PICKUP TRUCK - SMALL
2.5,4,10.9,254,,PICKUP TRUCK - SMALL
2.8,4,9.5,255,,PICKUP TRUCK - SMALL
3.6,6,11.7,274,,PICKUP TRUCK - SMALL
2.5,4,11.3,263,,PICKUP TRUCK - SMALL
2.8,4,10.4,280,,PICKUP TRUCK - SMALL
3.6,6,12.2,286,,PICKUP TRUCK - SMALL
6,8,18.6,438,,VAN - PASSENGER
6,8,19,445,,VAN - PASSENGER
5.3,8,12.7,297,,PICKUP TRUCK - STANDARD
5.3,8,13.1,309,,PICKUP TRUCK - STANDARD
6.2,8,13.8,323,,PICKUP TRUCK - STANDARD
4.3,6,11.9,279,,PICKUP TRUCK - STANDARD
4.3,6,17.1,284,,PICKUP TRUCK - STANDARD
5.3,8,12.7,298,,PICKUP TRUCK - STANDARD
5.3,8,17.1,284,,PICKUP TRUCK - STANDARD
5.3,8,13.1,307,,PICKUP TRUCK - STANDARD
5.3,8,13.9,327,,PICKUP TRUCK - STANDARD
6.2,8,14.1,330,,PICKUP TRUCK - STANDARD
4.3,6,12.5,294,,PICKUP TRUCK - STANDARD
4.3,6,18,294,,PICKUP TRUCK - STANDARD
5.3,8,13.1,307,,PICKUP TRUCK - STANDARD
5.3,8,17.9,317,,PICKUP TRUCK - STANDARD
5.3,8,13,303,,PICKUP TRUCK - STANDARD
2.4,4,9.4,221,,SUV - SMALL
2.4,4,9.4,221,,SUV - SMALL
2.4,4,13.6,223,,SUV - SMALL
3.6,6,12.1,285,,SUV - SMALL
2.4,4,10.1,237,,SUV - SMALL
3.6,6,13,304,,SUV - SMALL
5.3,8,13,305,,SUV - STANDARD
5.3,8,13,305,,SUV - STANDARD
5.3,8,17.1,284,,SUV - STANDARD
5.3,8,13.2,310,,SUV - STANDARD
5.3,8,13.2,310,,SUV - STANDARD
5.3,8,18,299,,SUV - STANDARD
6.2,8,14.1,330,,SUV - STANDARD
5.3,8,13,305,,SUV - STANDARD
5.3,8,13,305,,SUV - STANDARD
5.3,8,17.1,284,,SUV - STANDARD
5.3,8,13.3,312,,SUV - STANDARD
5.3,8,13.3,312,,SUV - STANDARD
5.3,8,19.1,317,,SUV - STANDARD
6.2,8,14.2,333,,SUV - STANDARD
2.4,4,8.2,190,,MID-SIZE
2.4,4,9,210,,MID-SIZE
3.5,6,9.6,225,,MID-SIZE
3.5,6,10.9,254,,MID-SIZE
2.4,4,7.8,180,,MID-SIZE
3.5,6,9.5,223,,MID-SIZE
2,4,5,114,,MID-SIZE
1.5,4,6.8,158,,COMPACT
1.5,4,6.8,159,,COMPACT
2,4,7,163,,COMPACT
2,4,7.4,173,,COMPACT
1.5,4,6.6,153,,MID-SIZE
2,4,7,163,,MID-SIZE
2,4,7.4,172,,MID-SIZE
1.5,4,6.9,162,,FULL-SIZE
1.5,4,7.3,170,,FULL-SIZE
1.5,4,7.3,170,,FULL-SIZE
1.5,4,7.2,167,,FULL-SIZE
1.5,4,7.2,167,,FULL-SIZE
1.5,4,7.8,181,,SUV - SMALL
1.5,4,8,188,,SUV - SMALL
1.5,4,6.5,154,,STATION WAGON - SMALL
1.5,4,7,164,,STATION WAGON - SMALL
1.5,4,7.4,174,,STATION WAGON - SMALL
1.8,4,7.7,180,,STATION WAGON - SMALL
1.8,4,7.7,180,,STATION WAGON - SMALL
1.8,4,8.4,195,,STATION WAGON - SMALL
1.8,4,8.2,194,,STATION WAGON - SMALL
1.8,4,8.2,194,,STATION WAGON - SMALL
3.5,6,10.7,251,,MINIVAN
3.5,6,10.8,254,,SUV - SMALL
3.5,6,11.3,266,,SUV - SMALL
3.5,6,11,256,,SUV - SMALL
3.5,6,11.3,264,,PICKUP TRUCK - STANDARD
1.6,4,7.9,182,,COMPACT
1.6,4,7.8,184,,COMPACT
2,4,7.4,174,,MID-SIZE
2,4,8,187,,MID-SIZE
2,4,8.7,206,,MID-SIZE
2,4,8.7,204,,MID-SIZE
1.6,4,4.4,103,,FULL-SIZE
1.6,4,4.1,96,,FULL-SIZE
3.3,6,11.3,265,,SUV - SMALL
3.3,6,11.5,269,,SUV - SMALL
2.4,4,10,235,,SUV - SMALL
2,4,11.2,264,,SUV - SMALL
2.4,4,10.7,253,,SUV - SMALL
3.3,6,12.5,295,,SUV - SMALL
2,4,9.2,216,,FULL-SIZE
2.4,4,8.2,194,,FULL-SIZE
2.4,4,8.7,207,,FULL-SIZE
2,4,6,143,,MID-SIZE
2,4,5.7,137,,MID-SIZE
1.6,4,9.3,221,,SUV - SMALL
2,4,9,213,,SUV - SMALL
2,4,10.2,241,,SUV - SMALL
1.6,4,7.6,180,,COMPACT
1.6,4,8,188,,COMPACT
1.6,4,8.2,193,,COMPACT
1.6,4,8.4,200,,COMPACT
2,4,9.6,226,,MID-SIZE
3,6,10.9,256,,MID-SIZE
3,6,10.9,257,,MID-SIZE
3.5,6,8.5,200,,COMPACT
2,4,10,233,,SUBCOMPACT
3,6,10.8,253,,SUBCOMPACT
3,6,11,259,,SUBCOMPACT
3.7,6,11.7,274,,MID-SIZE
5.6,8,12.8,300,,MID-SIZE
3.5,6,7.8,184,,MID-SIZE
2,4,8.5,200,,COMPACT
2,4,9.4,221,,COMPACT
3.7,6,11.9,280,,STATION WAGON - SMALL
3.5,6,10.5,246,,SUV - SMALL
3.5,6,10.9,257,,SUV - SMALL
2.5,4,9.1,214,,SUV - STANDARD
3.7,6,12.8,301,,SUV - SMALL
5.6,8,15.1,355,,SUV - STANDARD
3,6,11.8,277,,SUV - SMALL
3,6,10.4,242,,TWO-SEATER
3,6,12.6,296,,TWO-SEATER
3,6,10.4,242,,TWO-SEATER
3,6,12.6,296,,TWO-SEATER
5,8,13.3,311,,TWO-SEATER
5,8,13.3,311,,TWO-SEATER
3,6,10.8,253,,TWO-SEATER
3,6,12.9,302,,TWO-SEATER
3,6,11.3,265,,TWO-SEATER
3,6,10.8,253,,TWO-SEATER
3,6,12.9,302,,TWO-SEATER
3,6,11.3,265,,TWO-SEATER
2,4,6.9,186,,COMPACT
3,6,10.2,238,,COMPACT
2,4,6.9,186,,MID-SIZE
3,6,10.4,243,,MID-SIZE
3,6,11.8,276,,FULL-SIZE
3,6,11.9,280,,FULL-SIZE
5,8,13.3,313,,FULL-SIZE
5,8,13.3,313,,FULL-SIZE
2.4,4,9.6,225,,SUV - SMALL
3.2,6,10,234,,SUV - SMALL
2.4,4,10,235,,SUV - SMALL
3.2,6,10.3,241,,SUV - SMALL
2.4,4,10.2,240,,SUV - SMALL
3.2,6,11.1,259,,SUV - SMALL
2.4,4,10.9,256,,SUV - SMALL
3.2,6,11.6,269,,SUV - SMALL
2,4,10,235,,SUV - SMALL
2,4,9.3,216,,SUV - SMALL
2.4,4,10.1,238,,SUV - SMALL
2.4,4,9.3,219,,SUV - SMALL
2.4,4,10.6,249,,SUV - SMALL
2.4,4,11.1,259,,SUV - SMALL
2.4,4,9.8,230,,SUV - SMALL
3.6,6,11.3,265,,SUV - STANDARD
5.7,8,14,328,,SUV - STANDARD
6.4,8,15.7,368,,SUV - STANDARD
2.4,4,9.3,218,,SUV - SMALL
2.4,4,9,211,,SUV - SMALL
2.4,4,9.5,222,,SUV - SMALL
2.4,4,9.4,221,,SUV - SMALL
2,4,10,235,,SUV - SMALL
2,4,9.3,216,,SUV - SMALL
2.4,4,10.1,238,,SUV - SMALL
2.4,4,9.3,219,,SUV - SMALL
2.4,4,10.6,249,,SUV - SMALL
2.4,4,11.1,259,,SUV - SMALL
2.4,4,9.8,230,,SUV - SMALL
1.4,4,8.9,209,,SUV - SMALL
2.4,4,9.5,222,,SUV - SMALL
2.4,4,12.5,206,,SUV - SMALL
1.4,4,8.9,211,,SUV - SMALL
2.4,4,9.8,230,,SUV - SMALL
3.6,6,12.8,299,,SUV - SMALL
3.6,6,12.8,298,,SUV - SMALL
3.6,6,13.4,313,,SUV - SMALL
3.6,6,13.3,312,,SUV - SMALL
3.3,6,10.2,237,,FULL-SIZE
2,4,7.2,170,,MID-SIZE
2,4,8.3,198,,MID-SIZE
2,4,8.3,195,,MID-SIZE
1.6,4,8.7,207,,FULL-SIZE
2,4,8.3,197,,FULL-SIZE
2,4,8.7,204,,FULL-SIZE
1.6,4,8.6,204,,COMPACT
1.6,4,9.2,216,,COMPACT
2,4,8.6,203,,COMPACT
2,4,8.8,209,,COMPACT
3.8,6,11.8,279,,FULL-SIZE
5,8,13.3,317,,FULL-SIZE
1.6,4,4.8,114,,STATION WAGON - SMALL
1.6,4,4.7,110,,STATION WAGON - SMALL
1.6,4,5.4,129,,STATION WAGON - SMALL
2.4,4,8.4,198,,FULL-SIZE
2.4,4,8,190,,FULL-SIZE
2,4,9.4,224,,FULL-SIZE
2,4,5.6,132,,MID-SIZE
1.6,4,7.8,181,,COMPACT
1.6,4,7.8,181,,COMPACT
2,4,8.9,210,,STATION WAGON - MID-SIZE
3.3,6,11.6,275,,MINIVAN
3.3,6,11.4,269,,MINIVAN
3.3,6,12.5,296,,MINIVAN
2.4,4,9.9,234,,SUV - SMALL
2,4,11,259,,SUV - SMALL
2.4,4,10.5,246,,SUV - SMALL
3.3,6,12.2,289,,SUV - SMALL
3.3,6,11.4,270,,SUV - SMALL
1.6,4,8.7,205,,STATION WAGON - SMALL
1.6,4,8.8,208,,STATION WAGON - SMALL
2,4,8.7,206,,STATION WAGON - SMALL
1.6,4,8.5,199,,STATION WAGON - SMALL
2.4,4,9.3,220,,SUV - SMALL
2,4,11.1,263,,SUV - SMALL
2.4,4,10.5,247,,SUV - SMALL
6.5,12,17.9,428,,TWO-SEATER
6.5,12,19.7,461,,TWO-SEATER
6.5,12,18.7,438,,TWO-SEATER
6.5,12,19.7,461,,TWO-SEATER
5.2,10,14.2,331,,TWO-SEATER
5.2,10,14.6,340,,TWO-SEATER
2,4,10.7,252,,SUV - SMALL
2,4,9.8,231,,SUV - SMALL
2,4,10.4,243,,SUV - SMALL
1.8,4,5.7,132,,COMPACT
2.5,4,5.9,139,,MID-SIZE
3.5,6,9.7,226,,MID-SIZE
3.5,6,11,257,,MID-SIZE
3.5,6,7.5,176,,MID-SIZE
5,8,12.5,293,,COMPACT
4.6,8,14.6,341,,SUV - STANDARD
2,4,9.1,214,,COMPACT
3.5,6,11,258,,COMPACT
3.5,6,11,258,,COMPACT
4.6,8,12.9,303,,MID-SIZE
4.6,8,12.9,303,,MID-SIZE
5.7,8,15.8,372,,SUV - STANDARD
2,4,9.7,226,,SUV - SMALL
2,4,9.9,232,,SUV - SMALL
2.5,4,7.5,176,,SUV - SMALL
3.5,6,11,258,,SUBCOMPACT
3.5,6,11,258,,SUBCOMPACT
5,8,12.6,289,,SUBCOMPACT
3.5,6,10.8,252,,SUV - SMALL
3.5,6,7.9,185,,SUV - STANDARD
2.7,6,12,281,,FULL-SIZE
3,6,12.3,288,,FULL-SIZE
3.7,6,12.2,287,,FULL-SIZE
2,4,10.9,256,,SUV - SMALL
2,4,10.8,254,,SUV - SMALL
2.3,4,11.4,268,,SUV - SMALL
3.5,6,13.7,321,,SUV - STANDARD
3.7,6,12.7,298,,SPECIAL PURPOSE VEHICLE
2.7,6,12.1,284,,SUV - SMALL
3.7,6,12.5,293,,SUV - SMALL
2,4,9.8,230,,MID-SIZE
3,6,11.2,264,,MID-SIZE
2,4,10.2,239,,MID-SIZE
3,6,11.8,278,,MID-SIZE
2,4,5.9,139,,MID-SIZE
3.5,6,14.2,333,,SUV - STANDARD
3.5,6,14.5,339,,SUV - STANDARD
3,6,12.4,286,,MID-SIZE
3,6,12.4,293,,MID-SIZE
3,6,12.6,295,,MID-SIZE
4.7,8,15.1,355,,SUBCOMPACT
4.7,8,15.2,358,,SUBCOMPACT
3,6,14.7,340,,SUV - STANDARD
3,6,14.7,346,,SUV - STANDARD
3.8,8,13.8,321,,FULL-SIZE
3,6,13.1,300,,FULL-SIZE
3,6,13.1,301,,FULL-SIZE
2,4,7.6,179,,COMPACT
2,4,8.2,192,,COMPACT
2,4,8.5,199,,SUV - SMALL
2.5,4,8.6,204,,SUV - SMALL
2.5,4,9.2,221,,SUV - SMALL
2.5,4,9.6,225,,SUV - SMALL
2.5,4,10.4,242,,SUV - SMALL
2,4,7.5,176,,COMPACT
2,4,7.5,175,,COMPACT
2,4,7.5,175,,COMPACT
2.5,4,7.8,182,,COMPACT
2.5,4,7.6,176,,COMPACT
2.5,4,8.2,194,,COMPACT
2,4,7.5,174,,MID-SIZE
2,4,7.6,178,,MID-SIZE
2.5,4,7.8,183,,MID-SIZE
2.5,4,7.8,181,,MID-SIZE
2.5,4,8.4,198,,MID-SIZE
2.5,4,9.6,226,,MINIVAN
2.5,4,9.8,230,,MINIVAN
2.5,4,8,187,,MID-SIZE
2.5,4,7.9,186,,MID-SIZE
2.5,4,8.4,196,,MID-SIZE
2,4,8,187,,TWO-SEATER
2,4,8.1,190,,TWO-SEATER
4,8,11.7,273,,COMPACT
4,8,12.2,291,,SUBCOMPACT
4,8,12.1,285,,SUBCOMPACT
4,8,11.7,273,,COMPACT
4,8,12.2,291,,SUBCOMPACT
4,8,12.1,285,,SUBCOMPACT
2,4,9.3,221,,COMPACT
5.5,8,13.1,308,,COMPACT
5.5,8,18.5,413,,SUV - STANDARD
6,12,20.3,467,,SUV - STANDARD
2,4,10,233,,SUV - SMALL
3,6,14.6,353,,SUV - SMALL
3,6,12,281,,SUV - STANDARD
3,6,12,281,,SUV - STANDARD
5.5,8,15.6,363,,SUV - STANDARD
5.5,8,15.2,363,,SUV - STANDARD
5.5,8,16.3,369,,SUV - STANDARD
4,8,12.8,303,,TWO-SEATER
4,8,12.8,303,,TWO-SEATER
5.5,8,13.2,313,,FULL-SIZE
5.5,8,13.8,322,,COMPACT
5.5,8,13,305,,COMPACT
6,12,14.6,349,,FULL-SIZE
6,12,14.3,348,,COMPACT
6,12,15.5,365,,COMPACT
5.5,8,12.4,298,,TWO-SEATER
6,12,14.5,340,,TWO-SEATER
3,6,10.1,234,,TWO-SEATER
2,4,8.3,179,,MID-SIZE
2,4,9,212,,COMPACT
2,4,9.5,222,,SUBCOMPACT
2,4,9.3,218,,SUBCOMPACT
2,4,8.1,190,,COMPACT
4.7,8,11.7,275,,COMPACT
2,4,9.5,246,,MID-SIZE
3,6,10.4,245,,MID-SIZE
3,6,11,259,,STATION WAGON - MID-SIZE
3,6,10,233,,SUBCOMPACT
3,6,10.2,239,,SUBCOMPACT
4.7,8,11.7,275,,SUBCOMPACT
4.7,8,11.4,268,,SUBCOMPACT
4,8,17.9,401,,SUV - STANDARD
2,4,9.1,212,,SUV - SMALL
2,4,12,128,,SUV - SMALL
2,4,10,233,,SUV - SMALL
3,6,11.7,276,,SUV - STANDARD
4.7,8,13.5,318,,SUV - STANDARD
3,6,13,306,,SUV - STANDARD
4.7,8,15,347,,SUV - STANDARD
6,12,15,359,,FULL-SIZE
2,4,10.2,240,,SPECIAL PURPOSE VEHICLE
2,4,10.5,248,,SPECIAL PURPOSE VEHICLE
3,6,10.8,253,,MID-SIZE
4.7,8,12,280,,MID-SIZE
4.7,8,12,280,,FULL-SIZE
4.7,8,11.8,276,,COMPACT
4.7,8,11.9,278,,COMPACT
6,12,14.5,350,,FULL-SIZE
3,6,10.1,237,,TWO-SEATER
4.7,8,11.7,275,,TWO-SEATER
2,4,8.5,200,,TWO-SEATER
1.5,3,7.9,184,,SUBCOMPACT
1.5,3,7.5,175,,SUBCOMPACT
1.5,3,7.9,184,,SUBCOMPACT
1.5,3,7.5,175,,SUBCOMPACT
1.5,3,8.4,197,,MID-SIZE
1.5,3,8.4,197,,MID-SIZE
1.5,3,9.1,213,,MID-SIZE
1.5,3,9.1,214,,MID-SIZE
1.5,3,7.9,184,,MINICOMPACT
1.5,3,7.5,175,,MINICOMPACT
1.5,3,8.4,197,,MID-SIZE
1.5,3,8.4,197,,MID-SIZE
1.5,3,9.2,215,,MID-SIZE
1.5,3,9.1,214,,MID-SIZE
2,4,8.3,196,,SUBCOMPACT
2,4,8.9,210,,SUBCOMPACT
2,4,8.3,196,,SUBCOMPACT
2,4,8.9,210,,SUBCOMPACT
2,4,8.7,205,,MID-SIZE
2,4,9.4,220,,MID-SIZE
2,4,9,210,,MID-SIZE
2,4,9.7,227,,MID-SIZE
2,4,8.4,196,,MINICOMPACT
2,4,8.9,210,,MINICOMPACT
2,4,9.1,213,,MID-SIZE
2,4,9.7,227,,MID-SIZE
2,4,8.3,196,,SUBCOMPACT
2,4,8.9,210,,SUBCOMPACT
2,4,9,210,,MID-SIZE
2,4,9.7,227,,MID-SIZE
2,4,8.4,196,,MINICOMPACT
2,4,9.4,220,,MINICOMPACT
2,4,7.9,183,,COMPACT
2,4,8.5,200,,COMPACT
2.4,4,8.9,206,,COMPACT
2.4,4,9.3,218,,COMPACT
2.4,4,9.2,212,,COMPACT
2,4,8.4,194,,STATION WAGON - SMALL
2,4,8.7,205,,STATION WAGON - SMALL
1.2,3,6,141,,COMPACT
1.2,3,6.5,150,,COMPACT
1.2,3,6.4,149,,COMPACT
1.2,3,6.6,155,,COMPACT
2.4,4,8.4,197,,SUV - SMALL
2.4,4,9,211,,SUV - SMALL
3,6,10.4,242,,SUV - SMALL
2,4,8.8,204,,SUV - SMALL
2,4,9.3,216,,SUV - SMALL
2,4,9.2,213,,SUV - SMALL
3.7,6,11.1,261,,TWO-SEATER
3.7,6,11.5,269,,TWO-SEATER
3.7,6,11.5,270,,TWO-SEATER
3.7,6,11.8,278,,TWO-SEATER
2.5,4,7.5,176,,MID-SIZE
3.5,6,9.1,214,,MID-SIZE
2.5,4,7.8,183,,MID-SIZE
5.6,8,15.4,362,,SUV - STANDARD
2.5,4,12.2,286,,PICKUP TRUCK - SMALL
2.5,4,11.4,268,,PICKUP TRUCK - SMALL
4,6,12.9,304,,PICKUP TRUCK - SMALL
4,6,13.8,326,,PICKUP TRUCK - SMALL
4,6,13.5,317,,PICKUP TRUCK - SMALL
3.8,6,12.8,300,,SUBCOMPACT
1.6,4,8,189,,STATION WAGON - SMALL
1.6,4,8,188,,STATION WAGON - SMALL
1.6,4,8.4,199,,STATION WAGON - SMALL
1.6,4,8.4,197,,STATION WAGON - SMALL
1.6,4,8.9,209,,STATION WAGON - SMALL
3.5,6,9.6,225,,MID-SIZE
1.6,4,7.9,186,,COMPACT
1.6,4,7.9,185,,COMPACT
3.5,6,9.8,230,,STATION WAGON - MID-SIZE
3.5,6,9.9,232,,STATION WAGON - MID-SIZE
2,4,9.4,220,,SPECIAL PURPOSE VEHICLE
3.5,6,10.2,240,,SUV - SMALL
3.5,6,10.7,250,,SUV - SMALL
3.5,6,11,258,,SUV - SMALL
2,4,8.1,191,,STATION WAGON - SMALL
2,4,9.2,216,,STATION WAGON - SMALL
2,4,8.4,197,,STATION WAGON - SMALL
2.5,4,8.2,192,,SUV - SMALL
2.5,4,8.6,203,,SUV - SMALL
1.6,4,8.2,193,,MID-SIZE
1.6,4,8.3,195,,MID-SIZE
1.8,4,7.3,171,,MID-SIZE
1.8,4,8,187,,MID-SIZE
1.6,4,8.7,205,,MID-SIZE
1.6,4,8.7,204,,MID-SIZE
5.6,8,13.3,312,,PICKUP TRUCK - STANDARD
5.6,8,13.4,315,,PICKUP TRUCK - STANDARD
5.6,8,14.2,333,,PICKUP TRUCK - STANDARD
1.6,4,7,164,,MID-SIZE
1.6,4,7.7,180,,MID-SIZE
3,6,9.4,221,,MINICOMPACT
3,6,10.1,237,,MINICOMPACT
3,6,9.7,227,,MINICOMPACT
3,6,10.3,241,,MINICOMPACT
3,6,9.7,226,,MINICOMPACT
3,6,10.4,242,,MINICOMPACT
3,6,9.7,228,,MINICOMPACT
3,6,10.4,243,,MINICOMPACT
3,6,9.6,225,,MINICOMPACT
3,6,10.4,242,,MINICOMPACT
3,6,9.8,230,,MINICOMPACT
3,6,10.5,246,,MINICOMPACT
3,6,9.9,232,,MINICOMPACT
3,6,10.4,243,,MINICOMPACT
3,6,9.9,231,,MINICOMPACT
3,6,10.5,246,,MINICOMPACT
3,6,9.8,228,,MINICOMPACT
3,6,10.5,246,,MINICOMPACT
3,6,10,233,,MINICOMPACT
3,6,10.5,246,,MINICOMPACT
3.8,6,11.4,266,,MINICOMPACT
3.8,6,11.4,267,,MINICOMPACT
3.8,6,11.4,266,,MINICOMPACT
3.8,6,11.4,267,,MINICOMPACT
2,4,9.4,219,,TWO-SEATER
2,4,9.8,229,,TWO-SEATER
2.5,4,9.9,230,,TWO-SEATER
2.5,4,10.7,249,,TWO-SEATER
3.6,6,11.5,268,,SUV - STANDARD
3.6,6,12.1,281,,SUV - STANDARD
3.6,6,12,281,,SUV - STANDARD
3.6,6,12.6,296,,SUV - STANDARD
4.8,8,14.2,334,,SUV - STANDARD
4.8,8,14.2,334,,SUV - STANDARD
2,4,9.4,219,,TWO-SEATER
2,4,9.8,229,,TWO-SEATER
2.5,4,9.9,230,,TWO-SEATER
2.5,4,10.7,249,,TWO-SEATER
2,4,10.6,248,,SUV - SMALL
3,6,12.2,285,,SUV - SMALL
3,6,12.3,287,,SUV - SMALL
3.6,6,12.3,287,,SUV - SMALL
3.6,6,11.9,280,,PICKUP TRUCK - STANDARD
3.6,6,17,283,,PICKUP TRUCK - STANDARD
5.7,8,14.8,346,,PICKUP TRUCK - STANDARD
5.7,8,13.6,319,,PICKUP TRUCK - STANDARD
3,6,10.4,278,,PICKUP TRUCK - STANDARD
3.6,6,12.6,294,,PICKUP TRUCK - STANDARD
3.6,6,18,300,,PICKUP TRUCK - STANDARD
5.7,8,15.4,361,,PICKUP TRUCK - STANDARD
5.7,8,14,328,,PICKUP TRUCK - STANDARD
3,6,10.8,289,,PICKUP TRUCK - STANDARD
2.4,4,9.9,232,,SPECIAL PURPOSE VEHICLE
6.6,12,16.7,390,,COMPACT
6.6,12,16.7,390,,FULL-SIZE
6.6,12,16.7,390,,FULL-SIZE
6.7,12,17.1,400,,FULL-SIZE
6.7,12,17.1,400,,FULL-SIZE
6.7,12,17.1,400,,COMPACT
6.7,12,17.1,401,,COMPACT
6.6,12,16.1,375,,MID-SIZE
0.9,3,6.7,152,,TWO-SEATER
2,4,8.6,200,,MINICOMPACT
2,4,9.7,228,,MINICOMPACT
2,4,8.2,193,,SUV - SMALL
2,4,9.2,216,,SUV - SMALL
2,4,9.5,223,,SUV - SMALL
2.5,4,8.4,196,,SUV - SMALL
2.5,4,9.7,228,,SUV - SMALL
2,4,7.5,174,,MID-SIZE
2,4,8.9,208,,MID-SIZE
2,4,7.5,176,,STATION WAGON - SMALL
2,4,9,211,,STATION WAGON - SMALL
2.5,4,8.3,194,,MID-SIZE
2.5,4,9.5,222,,MID-SIZE
3.6,6,10.3,241,,MID-SIZE
2.5,4,8.4,198,,SUV - SMALL
2.5,4,9.8,229,,SUV - SMALL
3.6,6,10.5,247,,SUV - SMALL
2,4,11.2,255,,COMPACT
2,4,10,235,,COMPACT
2.5,4,12.2,285,,COMPACT
4,6,13.3,310,,SUV - STANDARD
4,6,13.3,310,,SUV - STANDARD
2,4,8.7,204,,MINICOMPACT
2,4,9.9,232,,MINICOMPACT
3.5,6,9.7,226,,MID-SIZE
2.5,4,8.6,199,,MID-SIZE
3.5,6,9.6,224,,MID-SIZE
2.5,4,5.9,137,,MID-SIZE
2.5,4,6,141,,MID-SIZE
1.8,4,7.5,174,,MID-SIZE
1.8,4,7.5,178,,MID-SIZE
1.8,4,7.5,176,,MID-SIZE
1.8,4,6.9,163,,MID-SIZE
1.8,4,7.2,168,,MID-SIZE
1.8,4,7.5,176,,MID-SIZE
1.8,4,7.9,185,,MID-SIZE
3.5,6,10.3,243,,SUV - SMALL
3.5,6,10.6,251,,SUV - STANDARD
3.5,6,10.6,247,,SUV - STANDARD
3.5,6,10.4,242,,SUV - STANDARD
3.5,6,8.3,193,,SUV - STANDARD
1.8,4,4.5,105,,MID-SIZE
1.5,4,5.1,120,,COMPACT
1.8,4,5.8,135,,STATION WAGON - MID-SIZE
2.5,4,9.2,217,,SUV - SMALL
2.5,4,9,210,,SUV - SMALL
2.5,4,9.5,222,,SUV - SMALL
2.5,4,9.7,226,,SUV - SMALL
2.5,4,7.3,170,,SUV - SMALL
5.7,8,16.5,380,,SUV - STANDARD
3.5,6,10.9,255,,MINIVAN
3.5,6,11.7,274,,MINIVAN
2.7,4,11.2,263,,PICKUP TRUCK - SMALL
3.5,6,11.4,268,,PICKUP TRUCK - SMALL
2.7,4,11.7,274,,PICKUP TRUCK - SMALL
2.7,4,11.9,279,,PICKUP TRUCK - SMALL
3.5,6,12,283,,PICKUP TRUCK - SMALL
3.5,6,12.8,301,,PICKUP TRUCK - SMALL
3.5,6,12.9,300,,PICKUP TRUCK - SMALL
4.6,8,14.2,334,,PICKUP TRUCK - STANDARD
5.7,8,15.3,358,,PICKUP TRUCK - STANDARD
4.6,8,14.9,349,,PICKUP TRUCK - STANDARD
5.7,8,16.2,378,,PICKUP TRUCK - STANDARD
1.5,4,6.6,155,,COMPACT
1.5,4,6.8,164,,COMPACT
1.5,4,7.4,173,,COMPACT
1.5,4,7.2,168,,COMPACT
1.8,4,8.5,199,,COMPACT
1.8,4,8.4,198,,COMPACT
1.8,4,8.6,201,,COMPACT
1.8,4,8.5,199,,SUBCOMPACT
3.6,6,11.8,277,,COMPACT
1.8,4,8.2,192,,COMPACT
1.8,4,8.1,190,,COMPACT
2,4,8.5,199,,COMPACT
2,4,8.5,198,,COMPACT
2,4,9.3,216,,COMPACT
2,4,9.4,220,,COMPACT
1.8,4,9.4,220,,STATION WAGON - SMALL
1.8,4,8.2,192,,STATION WAGON - SMALL
1.8,4,8.3,194,,STATION WAGON - SMALL
1.8,4,9.4,220,,STATION WAGON - SMALL
1.4,4,7.4,175,,COMPACT
1.4,4,7.2,168,,COMPACT
1.8,4,8.2,193,,COMPACT
2,4,8.7,205,,COMPACT
2,4,8.9,208,,COMPACT
1.8,4,8.7,204,,MID-SIZE
3.6,6,10.4,242,,MID-SIZE
2,4,10.7,256,,SUV - SMALL
2,4,11.1,263,,SUV - SMALL
3.6,6,12.2,287,,SUV - STANDARD
2,4,8.4,198,,COMPACT
2,4,9.4,219,,COMPACT
2,4,8.4,198,,COMPACT
2,4,9.4,219,,COMPACT
2,4,9.5,221,,COMPACT
2,4,10.3,241,,COMPACT
2,4,9.4,220,,COMPACT
2,4,8.7,204,,MID-SIZE
2,4,9.4,219,,MID-SIZE
2,4,8.4,198,,STATION WAGON - SMALL
2,4,9.4,219,,STATION WAGON - SMALL
2,4,9.5,221,,STATION WAGON - SMALL
2,4,10.3,241,,STATION WAGON - SMALL
2,4,9.4,220,,STATION WAGON - SMALL
2,4,8.7,204,,STATION WAGON - MID-SIZE
2,4,9.4,219,,STATION WAGON - MID-SIZE
2,4,9.4,221,,STATION WAGON - MID-SIZE
2,4,9.2,216,,SUV - SMALL
2,4,10,233,,SUV - SMALL
2,4,10.4,244,,SUV - SMALL
2,4,10,232,,SUV - STANDARD
2,4,10.2,239,,SUV - STANDARD
2,4,10.6,249,,SUV - STANDARD
2.4,4,8.2,192,,COMPACT
3.5,6,11,259,,SUV - SMALL
3.5,6,10.7,251,,SUV - SMALL
3,6,9,210,,SUV - SMALL
3.5,6,11,261,,TWO-SEATER
3.5,6,10.7,250,,SUV - SMALL
3.5,6,8.4,196,,MID-SIZE
2.4,4,8.7,205,,COMPACT
2.4,4,8.9,209,,COMPACT
3.5,6,9.8,228,,COMPACT
